director,database frequency,idf
Steven Spielberg,26,5.1887
Woody Allen,22,5.3557
Martin Scorsese,20,5.4510
Clint Eastwood,20,5.4510
Spike Lee,16,5.6742
Ridley Scott,16,5.6742
Steven Soderbergh,15,5.7387
Renny Harlin,15,5.7387
Tim Burton,14,5.8077
Oliver Stone,14,5.8077
Ron Howard,13,5.8818
Robert Zemeckis,13,5.8818
Robert Rodriguez,13,5.8818
Joel Schumacher,13,5.8818
Barry Levinson,13,5.8818
Tony Scott,12,5.9619
Michael Bay,12,5.9619
Kevin Smith,12,5.9619
Brian De Palma,12,5.9619
Shawn Levy,11,6.0489
Sam Raimi,11,6.0489
Rob Reiner,11,6.0489
Richard Linklater,11,6.0489
Richard Donner,11,6.0489
Francis Ford Coppola,11,6.0489
Chris Columbus,11,6.0489
Wes Craven,10,6.1442
Stephen Frears,10,6.1442
Paul W.S. Anderson,10,6.1442
John McTiernan,10,6.1442
John Carpenter,10,6.1442
David Fincher,10,6.1442
Bobby Farrelly,10,6.1442
Tyler Perry,9,6.2495
Rob Cohen,9,6.2495
Phillip Noyce,9,6.2495
Peter Jackson,9,6.2495
M. Night Shyamalan,9,6.2495
Lasse Hallström,9,6.2495
Dennis Dugan,9,6.2495
Brett Ratner,9,6.2495
Stephen Herek,8,6.3673
Simon West,8,6.3673
Roland Emmerich,8,6.3673
Quentin Tarantino,8,6.3673
Neil Jordan,8,6.3673
Martin Campbell,8,6.3673
Marc Forster,8,6.3673
Jay Roach,8,6.3673
James Mangold,8,6.3673
Ivan Reitman,8,6.3673
Harold Ramis,8,6.3673
George Miller,8,6.3673
Garry Marshall,8,6.3673
F. Gary Gray,8,6.3673
Donald Petrie,8,6.3673
David O. Russell,8,6.3673
David Gordon Green,8,6.3673
Danny Boyle,8,6.3673
Christopher Nolan,8,6.3673
Bryan Singer,8,6.3673
Antoine Fuqua,8,6.3673
Ang Lee,8,6.3673
Alfred Hitchcock,8,6.3673
Adam Shankman,8,6.3673
Zack Snyder,7,6.5009
Wolfgang Petersen,7,6.5009
Wes Anderson,7,6.5009
Tom Shadyac,7,6.5009
Todd Phillips,7,6.5009
Terry Gilliam,7,6.5009
Sam Mendes,7,6.5009
Roger Donaldson,7,6.5009
