term,database frequency,idf
Drama,2394,0.6660
Comedy,1777,0.9641
Thriller,1307,1.2713
Action,1076,1.4658
Romance,1050,1.4902
Adventure,868,1.6806
Crime,821,1.7362
Sci-Fi,572,2.0976
Fantasy,562,2.1153
Horror,519,2.1949
Family,509,2.2143
Mystery,450,2.3375
Biography,285,2.7943
Animation,229,3.0130
Music,204,3.1287
War,201,3.1435
History,193,3.1841
Sport,176,3.2763
Musical,128,3.5947
Documentary,97,3.8721
Western,90,3.9470
Film-Noir,6,6.6550
Short,5,6.8373
News,2,7.7536
love,189,3.2050
friend,159,3.3779
murder,152,3.4229
death,125,3.6185
police,116,3.6932
new york city,89,3.9581
high school,85,4.0041
alien,77,4.1030
boy,71,4.1841
school,69,4.2127
revenge,69,4.2127
fbi,65,4.2724
friendship,64,4.2879
drugs,64,4.2879
prison,62,4.3196
money,60,4.3524
marriage,59,4.3692
party,55,4.4394
dog,55,4.4394
island,53,4.4765
escape,53,4.4765
wedding,52,4.4955
sex,51,4.5149
female protagonist,50,4.5347
detective,49,4.5550
rescue,48,4.5756
female nudity,47,4.5966
box office flop,47,4.5966
vomiting,46,4.6181
christmas,46,4.6181
battle,46,4.6181
teenager,45,4.6401
lawyer,45,4.6401
hospital,45,4.6401
train,44,4.6626
singer,44,4.6626
serial killer,44,4.6626
secret,44,4.6626
college,44,4.6626
hotel,43,4.6856
cia,43,4.6856
best friend,43,4.6856
writer,41,4.7332
teacher,41,4.7332
scientist,41,4.7332
future,41,4.7332
fight,41,4.7332
texas,40,4.7579
terrorist,40,4.7579
king,40,4.7579
cult film,40,4.7579
student,39,4.7832
girl,39,4.7832
violence,38,4.8092
vampire,38,4.8092
small town,38,4.8092
spy,37,4.8359
president,37,4.8359
male nudity,37,4.8359
sequel,36,4.8633
doctor,36,4.8633
assassin,35,4.8914
actor,34,4.9204
new york,33,4.9503
desert,33,4.9503
breasts,33,4.9503
bar,33,4.9503
sheriff,32,4.9810
ghost,32,4.9810
gangster,32,4.9810
baby,32,4.9810
soldier,31,5.0128
princess,31,5.0128
neighbor,31,5.0128
gay,31,5.0128
critically bashed,31,5.0128
blood,31,5.0128
dream,30,5.0456
coach,30,5.0456
book,30,5.0456
title directed by female,29,5.0795
superhero,29,5.0795
professor,29,5.0795
one word title,29,5.0795
male frontal nudity,29,5.0795
magic,29,5.0795
divorce,29,5.0795
bank,29,5.0795
monster,28,5.1146
martial arts,28,5.1146
gang,28,5.1146
birthday,28,5.1146
african american,28,5.1146
